"words" "occurence" "pval" "tscore"
"great" 29060 0 47.4054425559631
"best" 10642 2.75845242066736e-243 33.4542380847868
"worst" 2238 2.90066315434987e-215 -31.4349060901696
"amazing" 6170 3.22304171253052e-190 29.5173425939315
"delicious" 9390 9.48495435969436e-166 27.5191839459281
"terrible" 1990 7.16046601520904e-143 -25.5136751342918
"awesome" 4776 4.47266428430108e-130 24.3217684663504
"excellent" 4329 8.93741984766674e-122 23.5170115699077
"horrible" 1539 6.56706045138237e-119 -23.2327980044903
"good" 39469 7.49159746934729e-105 21.7863536884955
"love" 8867 1.92365242899519e-104 21.742797879493
"friendly" 8637 1.08447972554058e-87 19.8812936523644
"rude" 1759 6.66224835994121e-86 -19.6723396648408
"slow" 3014 2.59613208404627e-83 -19.3657161311419
"fantastic" 2547 4.23527240430591e-78 18.7338440819807
"wont" 2861 8.47455794785435e-71 -17.811775748834
"drive" 3325 2.6829181226285e-60 -16.3965600396589
"favorite" 4272 3.16699514318173e-54 15.520396352768
"cold" 3701 8.96974062797327e-48 -14.5325704864589
"disappointing" 1072 6.2679754471193e-46 -14.237814621486
"awful" 1175 9.89419568545675e-42 -13.5433643249829
"dirty" 1231 1.90158267131838e-41 -13.4951626954428
"never" 9296 9.87371818208151e-41 -13.3728759420448
"poor" 1328 1.24934491274508e-37 -12.8293254830175
"perfect" 3292 1.63619112656233e-36 12.6279544558211
"definitely" 7965 3.87672062393916e-36 12.5597154019909
"mediocre" 1044 2.84135636446322e-33 -12.0252745414853
"no_recommend" 451 1.13060967488913e-31 -11.7164469345536
"outstanding" 851 8.29183100364867e-30 11.3459472164368
"no_worth" 681 9.30356762604148e-30 -11.335852747662
"hour" 4466 2.37316165533488e-27 -10.8390703695453
"recommend" 4346 1.89055478174203e-25 10.4302452305709
"ridiculous" 601 3.34418030223986e-25 -10.37582157946
"no_be" 1495 3.35472556455302e-25 -10.375520383727
"wonderful" 1644 1.6678016659173e-24 10.2209672201542
"always" 10265 2.02407151102033e-24 10.2021542568648
"incredible" 768 7.16549996157079e-24 10.0784682210513
"phenomenal" 528 1.73673608786165e-23 9.99095760026691
"avoid" 763 2.26170001426938e-23 -9.96470570311303
"nothing" 4475 2.87288535536282e-22 -9.70851248309251
"dry" 1888 6.03386104493747e-21 -9.39265912295309
"disappointment" 510 6.32452859382985e-21 -9.38769694344233
